ITEMS,MPA ALLOC,MPA MEM,MPA AVG,DICT ALLOC, DICT MEM,DICT AVG, LIST ALLOC, LIST MEM,LIST AVG
1000,6.4233,5614,0.5152,1.3982,54368,0.2262,0.0315,8216,0.1546
5000,1.0234,4134,0.5161,0.164,235784,0.2241,0.0136,65560,0.1507
10000,1.072,4158,0.3551,0.3184,490584,0.2168,0.0263,131096,0.1516
50000,2.4666,4134,0.3294,1.9839,2112120,0.2158,0.1249,524312,0.1524
100000,5.7636,4134,0.3296,3.8263,4380288,0.2161,0.2429,1048600,0.1532
500000,20.6712,4134,0.3299,19.7418,18839224,0.2158,1.3784,4194328,0.1527
1000000,29.8057,4686,0.3288,39.3847,39067416,0.2151,2.5748,8388640,0.1518
5000000,149.6702,4214,0.331,203.8853,167985320,0.2226,37.9918,67108888,0.1526
10000000,277.0268,5462,0.3274,360.4213,335970624,0.214,111.0788,134217752,0.1508
50000000,1411.2573,6422,0.3313,2653.7798,2687768688,0.2187,514.8588,536870936,0.1542